Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;Abgabe
4489;19470101;19621231;198;   51.8833;  10.7667; Schmatzfeld; Sachsen-Anhalt;  Frei
4490;19660101;20021231;223;   49.4149;   6.8360; Schmelz-Hüttersdorf; Saarland;  Frei
4496;19550101;19741231;95;   51.6826;  12.7348; Schmiedeberg, Bad; Sachsen-Anhalt;  Frei
4501;19360101;20250619;938;   50.6545;  10.7696; Schmücke; Thüringen;  Frei
4505;19470101;19870131;650;   50.4988;  12.4534; Schnarrtanne-Vogelsgrün; Sachsen;  Frei
4508;19530101;20250619;653;   50.2968;   6.4194; Schneifelforsthaus; Rheinland-Pfalz;  Frei
4517;19470101;20081130;635;   48.7859;   8.6451; Schömberg, Kr. Calw; Baden-Württemberg;  Frei
4548;20070701;20250619;608;   50.1847;  12.0791; Schönwald/Ofr.-Brunn; Bayern;  Frei
4549;19770501;20100930;1021;   48.1002;   8.1969; Schönwald/Schwarzwald; Baden-Württemberg;  Frei
4556;19720901;20000831;904;   48.1402;   8.1991; Schonach; Baden-Württemberg;
4557;19530101;20021031;399;   47.6464;   7.8440; Schopfheim-Eichen; Baden-Württemberg;  Frei
4559;19960501;20250619;398;   49.1644;  12.6175; Schorndorf-Knöbling; Bayern;  Frei
4560;19490101;20220102;265;   50.4925;   9.1226; Schotten; Hessen;  Frei
4571;19690601;19970331;504;   51.8369;  10.4312; Schulenberg; Niedersachsen;  Frei
4576;19770401;19810731;343;   49.3261;  11.0120; Schwabach (A); Bayern;  Frei
4581;19510101;20021031;415;   48.7768;   9.8025; Schwäbisch Gmünd-Strassdorf; Baden-Württemberg;  Frei
4582;19830401;20010731;358;   49.0823;   9.6892; Schwäbisch Hall-Bibersfeld; Baden-Württemberg;  Frei
4583;19911126;20081226;300;   48.7868;   9.7456; Schwäbisch Gmünd (Wind); Baden-Württemberg;  Frei
4584;19700401;19790531;444;   48.3667;  11.8000; Schwaigermoos; Bayern;  Frei
4586;19910101;19980630;320;   50.1394;   8.0627; Schwalbach, Bad; Hessen;  Frei
4592;19551021;20250619;356;   49.3278;  12.0871; Schwandorf; Bayern;  Frei
4593;19950701;19991130;117;   51.9639;  11.1208; Schwanebeck; Sachsen-Anhalt;  Frei
4597;19450101;20101231;792;   47.5769;  10.7181; Schwangau-Horn; Bayern;  Frei
4605;19490705;20250619;277;   50.6441;  11.1936; Schwarzburg; Thüringen;  Frei
4606;19600101;19801231;116;   51.5167;  14.3500; Schwarze Pumpe; Brandenburg;  Frei
4612;19360101;19650630;418;   50.5513;  12.7678; Schwarzenberg; Sachsen;  Frei
4621;19580501;20031231;240;   50.0575;  10.2160; Schweinfurt-Gartenstadt; Bayern;  Frei
